forma_del_accidente,total_accidentes
Sin Información,1678361.0
Caída de personas,136306.0
Accidentes que involucran vehículos,49321.0
Objetos corto-punzantes,48024.0
Golpes por o contra objetos,32953.0
Sobreesfuerzo y falsos movimientos,27631.0
Pisadas (tropiezos sin caídas),23077.0
Otras formas de accidentes,19750.0
Atrapamientos o amputaciones,19004.0
Amenazas o agresiones de personas,18891.0
Contacto con temperaturas extremas,9514.0
Agresiones por animales,8832.0
Proyección de partículas,8699.0
"Contacto con condiciones o sustancias físicas, químicas o biológicas",4304.0
Picaduras de insectos,1074.0
Contacto con corriente eléctrica,850.0
