region,total_accidentes,promedio_trabajadores,promedio_accidentes_anual,tasa_accidentabilidad
Metropolitana de Santiago,1257461.0,3809630.475,125746.1,3.300742705235735
Del Biobío,120111.0,435986.69166666665,12011.1,2.754923540001785
De Los Lagos,87119.0,242764.89166666666,8711.9,3.5886161051500207
Del Maule,85305.0,264389.85,8530.5,3.2264854342933367
De Valparaiso,81838.0,427665.6458333333,8183.8,1.9135977088020135
De Coquimbo,39012.0,153684.94166666668,3901.2,2.5384399783691665
Del Libertador Gral. Bdo. O'higgins,37198.0,235890.8125,3719.8,1.5769160149041415
De Antofagasta,36909.0,159430.35833333334,3690.9,2.3150546976022914
De La Araucania,29988.0,186434.77083333334,2998.8,1.608498235922327
De Los Ríos,23446.0,80724.575,2344.6,2.904443906951508
De Tarapacá,19361.0,77939.98333333334,1936.1,2.4840908570889693
De Magallanes y la Antártica Chilena,19115.0,49594.816666666666,1911.5,3.8542334229148274
De Ñuble,16441.0,96945.19736842105,1644.1,1.6959065994284614
De Atacama,14847.0,69790.875,1484.7,2.127355474480009
De Arica y Parinacota,12641.0,43246.4,1264.1,2.923017869695512
Sin información,4104.0,29974.0,410.4,1.3691866284112897
Aysén del Gral. Carlos Ibañez del Campo,3351.0,20317.729166666668,335.1,1.6492984882866053
