anio,total_accidentes,meses_accidentes,promedio_trabajadores,meses_trabajadores,tasa_accidentabilidad
2015,232665.0,12,5647982.333333333,12,4.119435689925139
2016,231599.0,12,5736429.083333333,12,4.037337455681089
2017,224703.0,12,5811317.333333333,12,3.8666448089337404
2018,218002.0,12,6105926.25,12,3.570334640055634
2019,217811.0,12,6486105.25,12,3.3581169531592168
2020,152829.0,12,6489576.166666667,12,2.354992006796951
2021,186212.0,12,6766275.75,12,2.7520604669415074
2022,214540.0,12,7120737.75,12,3.012890061847875
2023,207447.0,12,7155455.916666667,12,2.8991444069525922
2024,200783.0,12,7188134.583333333,12,2.793255992528892
